Status,"Common
Code",Name,Description,"Level /
Category",Symbol,Conversion Factor
,A45,decametre,,1M,dam,10 m
,A47,decitex,A unit of yarn density. One decitex equals a mass of 1 gram per 10 kilometres of length.,3.5,dtex (g/10km),
,A48,degree Rankine,Refer ISO 80000-5 (Quantities and units — Part 5: Thermodynamics),2,°R,5/9 x K
,A49,denier,A unit of yarn density. One denier equals a mass of 1 gram per 9 kilometres of length.,3.5,den (g/9 km),
,A5,ampere square metre,,1,A·m²,A x m²
D,A50,dyne second per cubic centimetre,,2,dyn·s/cm³,10 Pa x s/m
D,A51,dyne second per centimetre,,2,dyn·s/cm,10⁻³ N x s/m
D,A52,dyne second per centimetre to the fifth power,,2,dyn·s/cm⁵,10⁵ Pa x s/m³
,A53,electronvolt,,1,eV,"1,602 176 487 x 10⁻¹⁹ J"
,A54,electronvolt per metre,,1,eV/m,"1,602 176 487 x 10⁻¹⁹ J/m"
,A55,electronvolt square metre,,1,eV·m²,"1,602 176 487 x 10⁻¹⁹ J x m²"
,A56,electronvolt square metre per kilogram,,1,eV·m²/kg,"1,602 176 487 x 10⁻¹⁹ J x m²/kg"
D,A57,erg,,2,erg,10⁻⁷J
D,A58,erg per centimetre,,2,erg/cm,10⁻⁵ J/m
,A59,8-part cloud cover,"A unit of count defining the number of eighth-parts as a measure of the celestial dome cloud coverage.
Synonym: OKTA , OCTA",3.9,,
,A6,ampere per square metre kelvin squared,,1,A/(m²·K²),A/(m² x K²)
D,A60,erg per cubic centimetre,,2,erg/cm³,10⁻¹ J/m³
D,A61,erg per gram,,2,erg/g,10⁻⁴ J/kg
D,A62,erg per gram second,,2,erg/g·s,10⁻⁴ W/kg
D,A63,erg per second,,2,erg/s,10⁻⁷ W
D,A64,erg per second square centimetre,,2,erg/(s·cm²),10⁻³ W/m²
D,A65,erg per square centimetre second,,2,erg/(cm²·s),10⁻³ W/m²
D,A66,erg square centimetre,,2,erg·cm²,10⁻¹¹ J x m²
D,A67,erg square centimetre per gram,,2,erg·cm²/g,10⁻⁸ J x m²/kg
,A68,exajoule,,1S,EJ,10¹⁸ J
,A69,farad per metre,,1,F/m,kg⁻¹ x m⁻³ x s⁴ x A²
,A7,ampere per square millimetre,,1S,A/mm²,10⁶ A/m²
,A70,femtojoule,,1S,fJ,10⁻¹⁵ J
,A71,femtometre,,1S,fm,10⁻¹⁵ m
,A73,foot per second squared,,2,ft/s²,"0,304 8 m/s²"
,A74,foot pound-force per second,,2,ft·lbf/s,"1,355 818 W"
,A75,freight ton,"A unit of information typically used for billing purposes, defined as either the number of metric tons or the number of cubic metres, whichever is the larger.",3.4,,
,A76,gal,,1S,Gal,10⁻² m/s²
D,A77,Gaussian CGS (Centimetre-Gram-Second system) unit of displacement,,3.5,,
D,A78,Gaussian CGS (Centimetre-Gram-Second system) unit of electric current,,3.5,,
D,A79,Gaussian CGS (Centimetre-Gram-Second system) unit of electric charge,,3.5,,
,A8,ampere second,,1,A·s,C
D,A80,Gaussian CGS (Centimetre-Gram-Second system) unit of electric field strength,,3.5,,
D,A81,Gaussian CGS (Centimetre-Gram-Second system) unit of electric polarization,,3.5,,
D,A82,Gaussian CGS (Centimetre-Gram-Second system) unit of electric potential,,3.5,,
D,A83,Gaussian CGS (Centimetre-Gram-Second system) unit of magnetization,,3.5,,
,A84,gigacoulomb per cubic metre,,1S,GC/m³,10⁹ C/m³
,A85,gigaelectronvolt,,1S,GeV,10⁹ eV
,A86,gigahertz,,1S,GHz,10⁹ Hz
,A87,gigaohm,,1S,GΩ,10⁹ Ω
,A88,gigaohm metre,,1S,GΩ·m,10⁹ Ω x m
,A89,gigapascal,,1S,GPa,10⁹ Pa
,A9,rate,A unit of quantity expressed as a rate for usage of a facility or service.,3.9,,
,A90,gigawatt,,1S,GW,10⁹ W
,A91,gon,Synonym: grade,2,gon,"1,570 796 x 10⁻² rad"
,A93,gram per cubic metre,,1M,g/m³,10⁻³ kg/m³
,A94,gram per mole,,1S,g/mol,10⁻³ kg/mol
,A95,gray,,1,Gy,m²/s²
,A96,gray per second,,1,Gy/s,m²/s³
,A97,hectopascal,,1S,hPa,10² Pa
,A98,henry per metre,,1,H/m,H/m
,A99,bit,A unit of information equal to one binary digit.,3.6,bit,
,AA,ball,A unit of count defining the number of balls (ball: object formed in the shape of sphere).,3.9,,
,AB,bulk pack,A unit of count defining the number of items per bulk pack.,3.9,pk,
,ACR,acre,,2,acre,"4 046,873 m²"
,ACT,activity,A unit of count defining the number of activities (activity: a unit of work or action).,3.2,,
,AD,byte,A unit of information equal to 8 bits.,3.6,byte,
,AE,ampere per metre,,1,A/m,A/m
,AH,additional minute,A unit of time defining the number of minutes in addition to the referenced minutes.,3.5,,
,AI,average minute per call,A unit of count defining the number of minutes for the average interval of a call.,3.5,,
X,AJ,cop,,3.9,,
,AK,fathom,,2,fth,"1,828 8 m"
,AL,access line,A unit of count defining the number of telephone access lines.,3.5,,
X,AM,ampoule,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
,AMH,ampere hour,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.,1M,A·h,"3,6 x 10³ C"
,AMP,ampere,,1,A,A
,ANN,year,"Unit of time equal to 365,25 days.
Synonym: Julian year",2,y,"3,155 76 x 10⁷ s"
X,AP,aluminium pound only,,3.1,,
,APZ,troy ounce or apothecary ounce,,2,tr oz,"3,110 348 x 10⁻³ kg"
,AQ,anti-hemophilic factor (AHF) unit,A unit of measure for blood potency (US).,3.9,,
X,AR,suppository,,3.3,,
D,ARE,are,Synonym: square decametre,2,a,10² m²
,AS,assortment,A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).,3.9,,
,ASM,alcoholic strength by mass,A unit of mass defining the alcoholic strength of a liquid.,3.5,,
,ASU,alcoholic strength by volume,"A unit of volume defining the alcoholic strength of a liquid (e.g. spirit, wine, beer, etc), often at a specific temperature.",3.5,,
,ATM,standard atmosphere,,1,atm,1 013 25 Pa
D,ATT,technical atmosphere,,2,at,"98 066,5 Pa"
X,AV,capsule,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,AW,powder filled vial,,3.3,,
,AWG,american wire gauge,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter of hypotermic or suture needles.,2,AWG,
,AY,assembly,A unit of count defining the number of assemblies (assembly: items that consist of component parts).,3.9,,
,AZ,British thermal unit (international table) per pound,,2,BtuIT/lb,2 326 J/kg
X,B0,Btu per cubic foot,,3.9,BTU/ft³,
,B1,barrel (US) per day,,3.5,barrel (US)/d,"1,840 13 x 10⁻⁶ m³/s"
,B10,bit per second,A unit of information equal to one binary digit per second.,3.6,bit/s,
,B11,joule per kilogram kelvin,,1,J/(kg·K),J/(kg x K)
,B12,joule per metre,,1,J/m,J/m
,B13,joule per square metre,Synonym: joule per metre squared,1,J/m²,J/m²
,B14,joule per metre to the fourth power,,1,J/m⁴,J/m⁴
,B15,joule per mole,,1,J/mol,J/mol
,B16,joule per mole kelvin,,1,J/(mol·K),J/(mol x K)
,B17,credit,A unit of count defining the number of entries made to the credit side of an account.,3.9,,
,B18,joule second,,1,J·s,J x s
,B19,digit,A unit of information defining the quantity of numerals used to form a number.,3.7,,
X,B2,bunk,,3.9,,
,B20,joule square metre per kilogram,,1,J·m²/kg,J x m²/kg
,B21,kelvin per watt,,1,K/W,K/W
,B22,kiloampere,,1S,kA,10³ A
,B23,kiloampere per square metre,,1S,kA/m²,10³ A/m²
,B24,kiloampere per metre,,1S,kA/m,10³ A/m
,B25,kilobecquerel per kilogram,,1S,kBq/kg,10³ Bq/kg
,B26,kilocoulomb,,1S,kC,10³ C
,B27,kilocoulomb per cubic metre,,1S,kC/m³,10³ C/m³
,B28,kilocoulomb per square metre,,1S,kC/m²,10³ C/m²
,B29,kiloelectronvolt,,1S,keV,10³ eV
,B3,batting pound,A unit of mass defining the number of pounds of wadded fibre.,3.1,,
,B30,gibibit,A unit of information equal to 2³⁰ bits (binary digits).,3.6,Gibit,
,B31,kilogram metre per second,,1,kg·m/s,kg x m/s
,B32,kilogram metre squared,,1,kg·m²,kg x m²
,B33,kilogram metre squared per second,,1,kg·m²/s,kg x m²/s
,B34,kilogram per cubic decimetre,,1S,kg/dm³,10³ kg/m³
,B35,kilogram per litre,,1S,kg/l or kg/L,10³ kg/m³
D,B36,calorie (thermochemical) per gram,,2,calth/g,4 184 J/kg
D,B37,kilogram-force,,2,kgf,"9,806 65 N"
D,B38,kilogram-force metre,,2,kgf·m,"9,806 65 N x m"
D,B39,kilogram-force metre per second,,2,kgf·m/s,"9,806 65 W"
,B4,"barrel, imperial",A unit of volume used to measure beer.  One beer barrel equals 36 imperial gallons.,3.5,,
D,B40,kilogram-force per square metre,,2,kgf/m²,"9,806 65 Pa"
,B41,kilojoule per kelvin,,1S,kJ/K,10³ J/K
,B42,kilojoule per kilogram,,1S,kJ/kg,10³ J/kg
,B43,kilojoule per kilogram kelvin,,1S,kJ/(kg·K),10³ J/(kg x K)
,B44,kilojoule per mole,,1S,kJ/mol,10³ J/mol
,B45,kilomole,,1S,kmol,10³ mol
,B46,kilomole per cubic metre,,1S,kmol/m³,10³ mol/m³
,B47,kilonewton,,1S,kN,10³ N
,B48,kilonewton metre,,1S,kN·m,10³ N x m
,B49,kiloohm,,1S,kΩ,10³ Ω
X,B5,billet,,3.9,,
,B50,kiloohm metre,,1S,kΩ·m,10³ Ω x m
D,B51,kilopond,Synonym: kilogram-force,2,kp,"9,806 65 N"
,B52,kilosecond,,1S,ks,10³ s
,B53,kilosiemens,,1S,kS,10³ S
,B54,kilosiemens per metre,,1S,kS/m,10³ S/m
,B55,kilovolt per metre,,1S,kV/m,10³ V/m
,B56,kiloweber per metre,,1S,kWb/m,10³ Wb/m
,B57,light year,A unit of length defining the distance that light travels in a vacuum in one year.,2,ly,"9,460 73 x 10¹⁵ m"
,B58,litre per mole,,1M,l/mol,10⁻³ m³/mol
,B59,lumen hour,,1S,lm·h,"3,6 x 10³ s x cd x sr"
X,B6,bun,,3.9,,
,B60,lumen per square metre,,1,lm/m²,cd x sr/m²
,B61,lumen per watt,,1,lm/W,cd x sr/W
,B62,lumen second,,1,lm·s,s x cd x sr
,B63,lux hour,,1S,lx·h,"3,6 x 10³ s x cd x sr / m²"
,B64,lux second,,1,lx·s,s x cd x sr / m²
D,B65,maxwell,,3.5,Mx,10⁻⁸ Wb
,B66,megaampere per square metre,,1S,MA/m²,10⁶ A/m²
,B67,megabecquerel per kilogram,,1S,MBq/kg,10⁶ Bq/kg
,B68,gigabit,A unit of information equal to 10⁹ bits (binary digits).,3.6,Gbit,
,B69,megacoulomb per cubic metre,,1S,MC/m³,10⁶ C/m³
,B7,cycle,A unit of count defining the number of cycles (cycle: a recurrent period of definite duration).,3.9,,
,B70,megacoulomb per square metre,,1S,MC/m²,10⁶ C/m²
,B71,megaelectronvolt,,1S,MeV,10⁶ eV
,B72,megagram per cubic metre,,1S,Mg/m³,10³ kg/m³
,B73,meganewton,,1S,MN,10⁶ N
,B74,meganewton metre,,1S,MN·m,10⁶ N x m
,B75,megaohm,,1S,MΩ,10⁶ Ω
,B76,megaohm metre,,1S,MΩ·m,10⁶ Ω x m
,B77,megasiemens per metre,,1S,MS/m,10⁶ S/m
,B78,megavolt,,1S,MV,10⁶ V
,B79,megavolt per metre,,1S,MV/m,10⁶ V/m
,B8,joule per cubic metre,,1,J/m³,J/m³
,B80,gigabit per second,A unit of information equal to 10⁹ bits (binary digits) per second.,3.6,Gbit/s,
,B81,reciprocal metre squared reciprocal second,,1,m⁻²/s,m⁻²/s
,B82,inch per linear foot,A unit of length defining the number of inches per linear foot.,3.1,,
,B83,metre to the fourth power,,1,m⁴,m⁴
,B84,microampere,,1S,µA,10⁻⁶ A
,B85,microbar,,1S,µbar,10⁻¹ Pa
,B86,microcoulomb,,1S,µC,10⁻⁶ C
,B87,microcoulomb per cubic metre,,1S,µC/m³,10⁻⁶ C/m³
,B88,microcoulomb per square metre,,1S,µC/m²,10⁻⁶ C/m²
,B89,microfarad per metre,,1S,µF/m,10⁻⁶ F/m
X,B9,batt,,3.9,,
,B90,microhenry,,1S,µH,10⁻⁶ H
,B91,microhenry per metre,,1S,µH/m,10⁻⁶ H/m
,B92,micronewton,,1S,µN,10⁻⁶ N
,B93,micronewton metre,,1S,µN·m,10⁻⁶ N x m
,B94,microohm,,1S,µΩ,10⁻⁶ Ω
,B95,microohm metre,,1S,µΩ·m,10⁻⁶ Ω x m
,B96,micropascal,,1S,µPa,10⁻⁶ Pa
,B97,microradian,,1S,µrad,10⁻⁶ rad
,B98,microsecond,,1S,µs,10⁻⁶ s
,B99,microsiemens,,1S,µS,10⁻⁶ S
,BAR,bar [unit of pressure],,1,bar,10⁵ Pa
,BB,base box,"A unit of area of 112 sheets of tin mil products (tin plate, tin free steel or black plate) 14 by 20 inches, or 31,360 square inches.",3.5,,
X,BD,board,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,BE,bundle,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
,BFT,board foot,A unit of volume defining the number of cords (cord: a stack of firewood of 128 cubic feet).,3.5,fbm,
X,BG,bag,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,BH,brush,,3.9,,
,BHP,brake horse power,,2,BHP,"7,457 x 10² W"
,BIL,billion (EUR),Synonym: trillion (US),3.7,,10¹²
X,BJ,bucket,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,BK,basket,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,BL,bale,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
,BLD,dry barrel (US),,2,bbl (US),"1,156 27 x 10⁻¹ m³"
,BLL,barrel (US),,2,barrel (US),"158,987 3 x 10⁻³ m³"
X,BO,bottle,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
,BP,hundred board foot,A unit of volume equal to one hundred board foot.,3.5,,
,BPM,beats per minute,The number of beats per minute.,3.1,BPM,1.667 x 10-2 /s
,BQL,becquerel,,1,Bq,"27,027 x 10⁻¹² Ci"
X,BR,bar [unit of packaging],"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,BT,bolt,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
,BTU,British thermal unit (international table),,2,BtuIT,"1,055 056 x 10³ J"
,BUA,bushel (US),,2,bu (US),"3,523 907 x 10⁻² m³"
,BUI,bushel (UK),,2,bushel (UK),"3,636 872 x 10⁻² m³"
X,BW,base weight,,3.9,,
X,BX,box,"Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction, 1st sheet).",3.3,,
X,BZ,million BTUs,,3.8,,
,C0,call,A unit of count defining the number of calls (call: communication session or visitation).,3.5,,
X,C1,composite product pound (total weight),,3.9,,
,C10,millifarad,,1S,mF,10⁻³ F
,C11,milligal,,1M,mGal,10⁻⁵ m/s²
,C12,milligram per metre,,1S,mg/m,10⁻⁶ kg/m
,C13,milligray,,1S,mGy,10⁻³ Gy
,C14,millihenry,,1S,mH,10⁻³ H
,C15,millijoule,,1S,mJ,10⁻³ J
,C16,millimetre per second,,1S,mm/s,10⁻³ m/s
,C17,millimetre squared per second,,1S,mm²/s,10⁻⁶ m²/s
,C18,millimole,,1S,mmol,10⁻³ mol
,C19,mole per kilogram,,1,mol/kg,mol/kg
X,C2,carset,,3.5,,
,C20,millinewton,,1S,mN,10⁻³ N
,C21,kibibit,A unit of information equal to 2¹⁰ (1024) bits (binary digits).,3.6,Kibit,
,C22,millinewton per metre,,1S,mN/m,10⁻³ N/m
