IO-Link unitCode;NamespaceUri;UnitId;DisplayName;Description
1026;http://www.opcfoundation.org/UA/units/un/cefact;4476235;dm²;square decimetre
1027;http://www.opcfoundation.org/UA/units/un/cefact;5066059;mm²;square millimetre
1028;http://www.opcfoundation.org/UA/units/un/cefact;4280901;a;are
1029;http://www.opcfoundation.org/UA/units/un/cefact;4735314;ha;hectare
1030;http://www.opcfoundation.org/UA/units/un/cefact;4804171;in²;square inch
1031;http://www.opcfoundation.org/UA/units/un/cefact;4609099;ft²;square foot
1032;http://www.opcfoundation.org/UA/units/un/cefact;5850187;yd²;square yard
1033;http://www.opcfoundation.org/UA/units/un/cefact;5065035;mi²;square mile (statute mile)
1034;http://www.opcfoundation.org/UA/units/un/cefact;5067857;m³;cubic metre
1035;http://www.opcfoundation.org/UA/units/un/cefact;4476241;dm³;cubic decimetre
1036;http://www.opcfoundation.org/UA/units/un/cefact;4410705;cm³;cubic centimetre
1037;http://www.opcfoundation.org/UA/units/un/cefact;5066065;mm³;cubic millimetre
1038;http://www.opcfoundation.org/UA/units/un/cefact;5002322;l;litre
1039;http://www.opcfoundation.org/UA/units/un/cefact;4410452;cl;centilitre
1040;http://www.opcfoundation.org/UA/units/un/cefact;5065812;ml;millilitre
1041;http://www.opcfoundation.org/UA/units/un/cefact;4738132;hl;hectolitre
1042;http://www.opcfoundation.org/UA/units/un/cefact;4804177;in³;cubic inch
1043;http://www.opcfoundation.org/UA/units/un/cefact;4609105;ft³;cubic foot
1044;http://www.opcfoundation.org/UA/units/un/cefact;5850193;yd³;cubic yard
1045;http://www.opcfoundation.org/UA/units/un/cefact;5060153;mi³;cubic mile (UK statute)
1046;http://www.opcfoundation.org/UA/units/un/cefact;20564;pt (US);pint (US)
1047;http://www.opcfoundation.org/UA/units/un/cefact;5329993;qt (UK);quart (UK)
1048;http://www.opcfoundation.org/UA/units/un/cefact;4273974;Gal;gal
1049;http://www.opcfoundation.org/UA/units/un/cefact;18227;gal (UK) /min;Imperial gallon per minute
1050;http://www.opcfoundation.org/UA/units/un/cefact;4347209;bushel (UK);bushel (UK)
1050;http://www.opcfoundation.org/UA/units/un/cefact;4347201;bu (US);bushel (US)
1051;http://www.opcfoundation.org/UA/units/un/cefact;4344900;bbl (US);dry barrel (US)
1052;http://www.opcfoundation.org/UA/units/un/cefact;4863287;bbl (UK liq.);barrel (UK petroleum)
1053;http://www.opcfoundation.org/UA/units/un/cefact;13641;std;standard cubic foot
1054;http://www.opcfoundation.org/UA/units/un/cefact;5457219;s;second [unit of time]
1055;http://www.opcfoundation.org/UA/units/un/cefact;4338994;ks;kilosecond
1056;http://www.opcfoundation.org/UA/units/un/cefact;4403766;ms;millisecond
1057;http://www.opcfoundation.org/UA/units/un/cefact;4340024;µs;microsecond
1058;http://www.opcfoundation.org/UA/units/un/cefact;5065038;min;minute [unit of time]
1059;http://www.opcfoundation.org/UA/units/un/cefact;4740434;h;hour
1060;http://www.opcfoundation.org/UA/units/un/cefact;4473177;d;day
1061;http://www.opcfoundation.org/UA/units/un/cefact;5067859;m/s;metre per second
1062;http://www.opcfoundation.org/UA/units/un/cefact;4403510;mm/s;millimetre per second
1063;http://www.opcfoundation.org/UA/units/un/cefact;5060144;m/h;metre per hour
1064;http://www.opcfoundation.org/UA/units/un/cefact;4934984;km/h;kilometre per hour
1065;http://www.opcfoundation.org/UA/units/un/cefact;4935252;kn;knot
1066;http://www.opcfoundation.org/UA/units/un/cefact;18773;in/s;inch per second
1067;http://www.opcfoundation.org/UA/units/un/cefact;18003;ft/s;foot per second
1068;http://www.opcfoundation.org/UA/units/un/cefact;5060148;yd/s;yard per second
1069;http://www.opcfoundation.org/UA/units/un/cefact;5060147;in/min;inch per minute
1070;http://www.opcfoundation.org/UA/units/un/cefact;18002;ft/min;foot per minute
1071;http://www.opcfoundation.org/UA/units/un/cefact;5060149;yd/min;yard per minute
1072;http://opcfoundation.org/UA/IOLink;1072;in/h;inch per hour
1073;http://www.opcfoundation.org/UA/units/un/cefact;4927796;ft/h;foot per hour
1074;http://www.opcfoundation.org/UA/units/un/cefact;5060150;yd/h;yard per hour
1075;http://www.opcfoundation.org/UA/units/un/cefact;18509;mile/h;mile per hour (statute mile)
1076;http://www.opcfoundation.org/UA/units/un/cefact;5067595;m/s²;metre per second squared
1077;http://www.opcfoundation.org/UA/units/un/cefact;4740186;Hz;hertz
1078;http://www.opcfoundation.org/UA/units/un/cefact;4469305;THz;terahertz
1079;http://www.opcfoundation.org/UA/units/un/cefact;4274230;GHz;gigahertz
1080;http://www.opcfoundation.org/UA/units/un/cefact;5064794;MHz;megahertz
1081;http://www.opcfoundation.org/UA/units/un/cefact;4933722;kHz;kilohertz
1082;http://opcfoundation.org/UA/IOLink;1082;1/s;per second
1083;http://opcfoundation.org/UA/IOLink;1083;1/min;per minute
1084;http://www.opcfoundation.org/UA/units/un/cefact;5394515;r/s;revolutions per second
1085;http://www.opcfoundation.org/UA/units/un/cefact;5394509;r/min;revolutions per minute
1086;http://www.opcfoundation.org/UA/units/un/cefact;12865;rad/s;radian per second
1087;http://www.opcfoundation.org/UA/units/un/cefact;12866;rad/s²;radian per second squared
1088;http://www.opcfoundation.org/UA/units/un/cefact;4933453;kg;kilogram
1089;http://www.opcfoundation.org/UA/units/un/cefact;4674125;g;gram
1090;http://www.opcfoundation.org/UA/units/un/cefact;5064525;mg;milligram
1091;http://www.opcfoundation.org/UA/units/un/cefact;12885;Mg;megagram
1092;http://www.opcfoundation.org/UA/units/un/cefact;5525061;t;tonne (metric ton)
1093;http://www.opcfoundation.org/UA/units/un/cefact;5197402;oz;ounce (avoirdupois)
1094;http://www.opcfoundation.org/UA/units/un/cefact;4997714;lb;pound
1095;http://opcfoundation.org/UA/IOLink;1095;STon;short ton in pound
1096;http://opcfoundation.org/UA/IOLink;1096;LTon;long ton in pound
1097;http://www.opcfoundation.org/UA/units/un/cefact;4934993;kg/m³;kilogram per cubic metre
1098;http://www.opcfoundation.org/UA/units/un/cefact;4339506;Mg/m³;megagram per cubic metre
1099;http://www.opcfoundation.org/UA/units/un/cefact;4338484;kg/dm³;kilogram per cubic decimetre
1100;http://www.opcfoundation.org/UA/units/un/cefact;12851;g/cm³;gram per cubic centimetre
1101;http://www.opcfoundation.org/UA/units/un/cefact;4274483;g/m³;gram per cubic metre
1102;http://opcfoundation.org/UA/IOLink;1102;t/m³;metric ton per cubic meter
1103;http://www.opcfoundation.org/UA/units/un/cefact;4338485;kg/l or kg/L;kilogram per litre
1104;http://www.opcfoundation.org/UA/units/un/cefact;18250;g/ml;gram per millilitre
1105;http://www.opcfoundation.org/UA/units/un/cefact;18252;g/l;gram per litre
1106;http://www.opcfoundation.org/UA/units/un/cefact;19521;lb/in³;pound per cubic inch
1107;http://www.opcfoundation.org/UA/units/un/cefact;14391;lb/ft³;pound per cubic foot
1108;http://www.opcfoundation.org/UA/units/un/cefact;18245;lb/gal (US);pound per gallon (US)
1109;http://opcfoundation.org/UA/IOLink;1109;STon/yd³;short ton per cubic yard
1110;http://opcfoundation.org/UA/IOLink;1110;°Twad;degree Twaddell
1111;http://opcfoundation.org/UA/IOLink;1111;°Baum (hv);degree Baume heavy
1112;http://opcfoundation.org/UA/IOLink;1112;°Baum (lt);degree Baume light
1113;http://opcfoundation.org/UA/IOLink;1113;°API;degree API
1114;http://opcfoundation.org/UA/IOLink;1114;SGU;specific gravity unit
1115;http://www.opcfoundation.org/UA/units/un/cefact;19276;kg/m;kilogram per metre
1116;http://www.opcfoundation.org/UA/units/un/cefact;4403506;mg/m;milligram per metre
1117;http://opcfoundation.org/UA/IOLink;1117;10-6 kg/m;tex
1118;http://www.opcfoundation.org/UA/units/un/cefact;4338482;kg·m²;kilogram metre squared
1119;http://www.opcfoundation.org/UA/units/un/cefact;4338481;kg·m/s;kilogram metre per second
1120;http://www.opcfoundation.org/UA/units/un/cefact;5129559;N;newton
1121;http://www.opcfoundation.org/UA/units/un/cefact;4339507;MN;meganewton
1122;http://www.opcfoundation.org/UA/units/un/cefact;4338743;kN;kilonewton
1123;http://www.opcfoundation.org/UA/units/un/cefact;4403760;mN;millinewton
1124;http://www.opcfoundation.org/UA/units/un/cefact;4340018;µN;micronewton
1125;http://opcfoundation.org/UA/IOLink;1125;kgm²/s;kilogram square meter per second
1126;http://www.opcfoundation.org/UA/units/un/cefact;20053;N·m;newton metre
1127;http://www.opcfoundation.org/UA/units/un/cefact;4339508;MN·m;meganewton metre
1128;http://www.opcfoundation.org/UA/units/un/cefact;4338744;kN·m;kilonewton metre
1129;http://www.opcfoundation.org/UA/units/un/cefact;4470835;mN·m;millinewton metre
1130;http://www.opcfoundation.org/UA/units/un/cefact;5259596;Pa;pascal
1131;http://www.opcfoundation.org/UA/units/un/cefact;4274233;GPa;gigapascal
1132;http://www.opcfoundation.org/UA/units/un/cefact;5066817;MPa;megapascal
1133;http://www.opcfoundation.org/UA/units/un/cefact;4935745;kPa;kilopascal
1134;http://www.opcfoundation.org/UA/units/un/cefact;14132;mPa;millipascal
1135;http://www.opcfoundation.org/UA/units/un/cefact;4340022;µPa;micropascal
1136;http://www.opcfoundation.org/UA/units/un/cefact;4274487;hPa;hectopascal
1137;http://www.opcfoundation.org/UA/units/un/cefact;4342098;bar;bar [unit of pressure]
1138;http://www.opcfoundation.org/UA/units/un/cefact;5063250;mbar;millibar
1139;http://www.opcfoundation.org/UA/units/un/cefact;21825;Torr;torr
1140;http://www.opcfoundation.org/UA/units/un/cefact;4281421;atm;standard atmosphere
1141;http://opcfoundation.org/UA/IOLink;1141;psi;pound-force per square inch
1142;http://opcfoundation.org/UA/IOLink;1142;psia;pound-force per square inch absolute
1143;http://opcfoundation.org/UA/IOLink;1143;psig;pound-force per square inch gauge
1144;http://www.opcfoundation.org/UA/units/un/cefact;4928305;gf/cm²;gram-force per square centimetre
1145;http://www.opcfoundation.org/UA/units/un/cefact;4535346;kgf/cm²;kilogram-force per square centimetre
1146;http://www.opcfoundation.org/UA/units/un/cefact;4601656;inH2O;inch of water
1147;http://opcfoundation.org/UA/IOLink;1147;inH2O (4°C);inch of water at 4°C
1148;http://opcfoundation.org/UA/IOLink;1148;inH2O (68°F);inch of water at 68°F
1149;http://opcfoundation.org/UA/IOLink;1149;mmH2O;millimeter of water
1150;http://opcfoundation.org/UA/IOLink;1150;mmH2O (4°C);millimeter of water at 4°C
1151;http://opcfoundation.org/UA/IOLink;1151;mmH2O (68°F);millimeter of water at 68°F
1152;http://www.opcfoundation.org/UA/units/un/cefact;4928052;ft H₂O;foot of water
1153;http://opcfoundation.org/UA/IOLink;1153;ft H2O (4°C);foot of water at 4°C
1154;http://opcfoundation.org/UA/IOLink;1154;ft H2O (68°F);foot of water at 68°F
1155;http://www.opcfoundation.org/UA/units/un/cefact;4601657;inHg;inch of mercury
1156;http://opcfoundation.org/UA/IOLink;1156;inHg (0°C);inch of mercury at 0°C
1157;http://opcfoundation.org/UA/IOLink;1157;mmHg;millimeter of mercury
1158;http://opcfoundation.org/UA/IOLink;1158;mmHg (0°C);millimeter of mercury at 0°C
1159;http://www.opcfoundation.org/UA/units/un/cefact;4404789;Pa·s;pascal second
1160;http://www.opcfoundation.org/UA/units/un/cefact;21300;m²/s;square metre per second
1161;http://www.opcfoundation.org/UA/units/un/cefact;14393;P;poise
1162;http://www.opcfoundation.org/UA/units/un/cefact;17207;cP;centipoise
1163;http://www.opcfoundation.org/UA/units/un/cefact;14641;St;stokes
1164;http://www.opcfoundation.org/UA/units/un/cefact;13379;cSt;centistokes
1165;http://www.opcfoundation.org/UA/units/un/cefact;13392;N/m;newton per metre
1166;http://www.opcfoundation.org/UA/units/un/cefact;4403762;mN/m;millinewton per metre
1167;http://www.opcfoundation.org/UA/units/un/cefact;4869973;J;joule
1168;http://www.opcfoundation.org/UA/units/un/cefact;4273720;EJ;exajoule
1169;http://www.opcfoundation.org/UA/units/un/cefact;4404792;PJ;petajoule
1170;http://www.opcfoundation.org/UA/units/un/cefact;4469552;TJ;terajoule
1171;http://www.opcfoundation.org/UA/units/un/cefact;18262;GJ;gigajoule
1172;http://www.opcfoundation.org/UA/units/un/cefact;13122;MJ;megajoule
1173;http://www.opcfoundation.org/UA/units/un/cefact;4934223;kJ;kilojoule
1174;http://www.opcfoundation.org/UA/units/un/cefact;4403509;mJ;millijoule
1175;http://www.opcfoundation.org/UA/units/un/cefact;5720146;W·h;watt hour
1176;http://www.opcfoundation.org/UA/units/un/cefact;4469554;TW·h;terawatt hour
1177;http://www.opcfoundation.org/UA/units/un/cefact;4675400;GW·h;gigawatt hour
1178;http://www.opcfoundation.org/UA/units/un/cefact;5068616;MW·h;megawatt hour (1000 kW.h)
1179;http://www.opcfoundation.org/UA/units/un/cefact;4937544;kW·h;kilowatt hour
1180;http://www.opcfoundation.org/UA/units/un/cefact;4863797;cal;calorie (mean)
1181;http://www.opcfoundation.org/UA/units/un/cefact;4928817;kcal;kilocalorie (mean)
1182;http://opcfoundation.org/UA/IOLink;1182;Mcal;megacalorie (= 4.184 MJ)
1183;http://www.opcfoundation.org/UA/units/un/cefact;5125686;Btu (39 ºF);British thermal unit (39 ºF)
1184;http://opcfoundation.org/UA/IOLink;1184;datherm;dekatherm (= 1.05506·10^9 J )
1185;http://www.opcfoundation.org/UA/units/un/cefact;14389;ft·lbf;foot pound-force
1186;http://www.opcfoundation.org/UA/units/un/cefact;5723220;W;watt
1187;http://www.opcfoundation.org/UA/units/un/cefact;4469553;TW;terawatt
1188;http://www.opcfoundation.org/UA/units/un/cefact;4274480;GW;gigawatt
1189;http://www.opcfoundation.org/UA/units/un/cefact;5062999;MW;megawatt
1190;http://www.opcfoundation.org/UA/units/un/cefact;4937556;kW;kilowatt
1191;http://www.opcfoundation.org/UA/units/un/cefact;4404017;mW;milliwatt
1192;http://www.opcfoundation.org/UA/units/un/cefact;4470832;µW;microwatt
1193;http://www.opcfoundation.org/UA/units/un/cefact;4404281;nW;nanowatt
1194;http://www.opcfoundation.org/UA/units/un/cefact;4405045;pW;picowatt
1195;http://opcfoundation.org/UA/IOLink;1195;Mcal/h;megacalorie per hour
1196;http://opcfoundation.org/UA/IOLink;1196;MJ/h;megajoule per hour
1197;http://opcfoundation.org/UA/IOLink;1197;Btu/h;British thermal unit per hour
1198;http://www.opcfoundation.org/UA/units/un/cefact;4928563;electric hp;horsepower (electric)
1199;http://www.opcfoundation.org/UA/units/un/cefact;4470067;W/(m·K);watt per metre kelvin
1200;http://www.opcfoundation.org/UA/units/un/cefact;4470069;W/(m²·K);watt per square metre kelvin
1201;http://www.opcfoundation.org/UA/units/un/cefact;4469049;m²·K/W;square metre kelvin per watt
1202;http://www.opcfoundation.org/UA/units/un/cefact;19013;J/K;joule per kelvin
1203;http://www.opcfoundation.org/UA/units/un/cefact;4338737;kJ/K;kilojoule per kelvin
1204;http://www.opcfoundation.org/UA/units/un/cefact;4337969;J/(kg·K);joule per kilogram kelvin
1205;http://www.opcfoundation.org/UA/units/un/cefact;4338739;kJ/(kg·K);kilojoule per kilogram kelvin
1206;http://www.opcfoundation.org/UA/units/un/cefact;18994;J/kg;joule per kilogram
1207;http://www.opcfoundation.org/UA/units/un/cefact;19019;MJ/kg;megajoule per kilogram
1208;http://www.opcfoundation.org/UA/units/un/cefact;4338738;kJ/kg;kilojoule per kilogram
1209;http://www.opcfoundation.org/UA/units/un/cefact;4279632;A;ampere
1210;http://www.opcfoundation.org/UA/units/un/cefact;4338226;kA;kiloampere
1211;http://www.opcfoundation.org/UA/units/un/cefact;13387;mA;milliampere
1212;http://www.opcfoundation.org/UA/units/un/cefact;4339764;µA;microampere
1213;http://www.opcfoundation.org/UA/units/un/cefact;4404025;nA;nanoampere
1214;http://www.opcfoundation.org/UA/units/un/cefact;4405040;pA;picoampere
1215;http://www.opcfoundation.org/UA/units/un/cefact;4411221;C;coulomb
1216;http://www.opcfoundation.org/UA/units/un/cefact;4470583;MC;megacoulomb
1217;http://www.opcfoundation.org/UA/units/un/cefact;4338230;kC;kilocoulomb
1218;http://www.opcfoundation.org/UA/units/un/cefact;4339766;µC;microcoulomb
1219;http://www.opcfoundation.org/UA/units/un/cefact;4404272;nC;nanocoulomb
1220;http://www.opcfoundation.org/UA/units/un/cefact;4405041;pC;picocoulomb
1221;http://www.opcfoundation.org/UA/units/un/cefact;4279624;A·h;ampere hour
1222;http://www.opcfoundation.org/UA/units/un/cefact;4272697;C/m³;coulomb per cubic metre
1223;http://www.opcfoundation.org/UA/units/un/cefact;4272944;C/mm³;coulomb per cubic millimetre
1224;http://www.opcfoundation.org/UA/units/un/cefact;4272696;C/cm³;coulomb per cubic centimetre
1225;http://www.opcfoundation.org/UA/units/un/cefact;4338231;kC/m³;kilocoulomb per cubic metre
1226;http://www.opcfoundation.org/UA/units/un/cefact;4470840;mC/m³;millicoulomb per cubic metre
1227;http://www.opcfoundation.org/UA/units/un/cefact;4339767;µC/m³;microcoulomb per cubic metre
1228;http://www.opcfoundation.org/UA/units/un/cefact;4272948;C/m²;coulomb per square metre
1229;http://www.opcfoundation.org/UA/units/un/cefact;4272949;C/mm²;coulomb per square millimetre
1230;http://www.opcfoundation.org/UA/units/un/cefact;4272947;C/cm²;coulomb per square centimetre
1231;http://www.opcfoundation.org/UA/units/un/cefact;4338232;kC/m²;kilocoulomb per square metre
1232;http://www.opcfoundation.org/UA/units/un/cefact;4470841;mC/m²;millicoulomb per square metre
1233;http://www.opcfoundation.org/UA/units/un/cefact;4339768;µC/m²;microcoulomb per square metre
1234;http://www.opcfoundation.org/UA/units/un/cefact;4470064;V/m;volt per metre
1235;http://www.opcfoundation.org/UA/units/un/cefact;4339513;MV/m;megavolt per metre
1236;http://www.opcfoundation.org/UA/units/un/cefact;4338997;kV/m;kilovolt per metre
1237;http://www.opcfoundation.org/UA/units/un/cefact;4469815;V/cm;volt per centimetre
1238;http://www.opcfoundation.org/UA/units/un/cefact;4404016;mV/m;millivolt per metre
1239;http://www.opcfoundation.org/UA/units/un/cefact;17203;µV/m;microvolt per metre
1240;http://www.opcfoundation.org/UA/units/un/cefact;5655636;V;volt
1241;http://www.opcfoundation.org/UA/units/un/cefact;4339512;MV;megavolt
1242;http://www.opcfoundation.org/UA/units/un/cefact;4937300;kV;kilovolt
1243;http://www.opcfoundation.org/UA/units/un/cefact;12890;mV;millivolt
1244;http://www.opcfoundation.org/UA/units/un/cefact;4470834;µV;microvolt
1245;http://www.opcfoundation.org/UA/units/un/cefact;4604242;F;farad
1246;http://www.opcfoundation.org/UA/units/un/cefact;4403504;mF;millifarad
1247;http://www.opcfoundation.org/UA/units/un/cefact;13391;µF;microfarad
1248;http://www.opcfoundation.org/UA/units/un/cefact;4404273;nF;nanofarad
1249;http://www.opcfoundation.org/UA/units/un/cefact;13396;pF;picofarad
1250;http://www.opcfoundation.org/UA/units/un/cefact;4273721;F/m;farad per metre
1251;http://www.opcfoundation.org/UA/units/un/cefact;4731448;µF/km;microfarad per kilometre
1252;http://www.opcfoundation.org/UA/units/un/cefact;4404274;nF/m;nanofarad per metre
1253;http://www.opcfoundation.org/UA/units/un/cefact;4405042;pF/m;picofarad per metre
1254;http://www.opcfoundation.org/UA/units/un/cefact;4272694;C·m;coulomb metre
1255;http://www.opcfoundation.org/UA/units/un/cefact;4273201;A/m²;ampere per square metre
1256;http://www.opcfoundation.org/UA/units/un/cefact;4339254;MA/m²;megaampere per square metre
1257;http://www.opcfoundation.org/UA/units/un/cefact;16692;A/cm²;ampere per square centimetre
1258;http://www.opcfoundation.org/UA/units/un/cefact;4338227;kA/m²;kiloampere per square metre
1259;http://www.opcfoundation.org/UA/units/un/cefact;16709;A/m;ampere per metre
1260;http://www.opcfoundation.org/UA/units/un/cefact;4338228;kA/m;kiloampere per metre
1261;http://www.opcfoundation.org/UA/units/un/cefact;16690;A/cm;ampere per centimetre
1262;http://www.opcfoundation.org/UA/units/un/cefact;4469555;T;tesla
1263;http://www.opcfoundation.org/UA/units/un/cefact;4403769;mT;millitesla
1264;http://www.opcfoundation.org/UA/units/un/cefact;4470833;µT;microtesla
1265;http://www.opcfoundation.org/UA/units/un/cefact;4404280;nT;nanotesla
1266;http://www.opcfoundation.org/UA/units/un/cefact;5719362;Wb;weber
1267;http://www.opcfoundation.org/UA/units/un/cefact;4404019;mWb;milliweber
1268;http://www.opcfoundation.org/UA/units/un/cefact;4470073;Wb/m;weber per metre
1269;http://www.opcfoundation.org/UA/units/un/cefact;4338998;kWb/m;kiloweber per metre
1270;http://www.opcfoundation.org/UA/units/un/cefact;14385;H;henry
1271;http://www.opcfoundation.org/UA/units/un/cefact;4403508;mH;millihenry
1272;http://www.opcfoundation.org/UA/units/un/cefact;4340016;µH;microhenry
1273;http://www.opcfoundation.org/UA/units/un/cefact;4404275;nH;nanohenry
1274;http://www.opcfoundation.org/UA/units/un/cefact;4405043;pH;picohenry
1275;http://www.opcfoundation.org/UA/units/un/cefact;4274488;H/m;henry per metre
1276;http://www.opcfoundation.org/UA/units/un/cefact;4340017;µH/m;microhenry per metre
1277;http://www.opcfoundation.org/UA/units/un/cefact;4404276;nH/m;nanohenry per metre
1278;http://www.opcfoundation.org/UA/units/un/cefact;16693;A·m²;ampere square metre
1279;http://www.opcfoundation.org/UA/units/un/cefact;5256249;N·m²/A;newton square metre per ampere
1280;http://www.opcfoundation.org/UA/units/un/cefact;5256496;Wb·m;weber metre
1281;http://www.opcfoundation.org/UA/units/un/cefact;5195853;Ω;ohm
1282;http://www.opcfoundation.org/UA/units/un/cefact;4274231;GΩ;gigaohm
1283;http://www.opcfoundation.org/UA/units/un/cefact;4339509;MΩ;megaohm
1284;http://www.opcfoundation.org/UA/units/un/cefact;4338745;kΩ;kiloohm
1285;http://www.opcfoundation.org/UA/units/un/cefact;4535349;mΩ;milliohm
1286;http://www.opcfoundation.org/UA/units/un/cefact;4340020;µΩ;microohm
1287;http://www.opcfoundation.org/UA/units/un/cefact;5458245;S;siemens
1288;http://www.opcfoundation.org/UA/units/un/cefact;4338995;kS;kilosiemens
1289;http://www.opcfoundation.org/UA/units/un/cefact;4403767;mS;millisiemens
1290;http://www.opcfoundation.org/UA/units/un/cefact;4340025;µS;microsiemens
1291;http://www.opcfoundation.org/UA/units/un/cefact;4404785;Ω·m;ohm metre
1292;http://www.opcfoundation.org/UA/units/un/cefact;4274232;GΩ·m;gigaohm metre
1293;http://www.opcfoundation.org/UA/units/un/cefact;4339510;MΩ·m;megaohm metre
1294;http://www.opcfoundation.org/UA/units/un/cefact;4338992;kΩ·m;kiloohm metre
1295;http://www.opcfoundation.org/UA/units/un/cefact;4404784;Ω·cm;ohm centimetre
1296;http://www.opcfoundation.org/UA/units/un/cefact;4403763;mΩ·m;milliohm metre
1297;http://www.opcfoundation.org/UA/units/un/cefact;4340021;µΩ·m;microohm metre
1298;http://www.opcfoundation.org/UA/units/un/cefact;4404278;nΩ·m;nanoohm metre
1299;http://www.opcfoundation.org/UA/units/un/cefact;4469040;S/m;siemens per metre
1300;http://www.opcfoundation.org/UA/units/un/cefact;4339511;MS/m;megasiemens per metre
1301;http://www.opcfoundation.org/UA/units/un/cefact;4338996;kS/m;kilosiemens per metre
1302;http://www.opcfoundation.org/UA/units/un/cefact;4732465;mS/cm;millisiemens per centimetre
1304;http://www.opcfoundation.org/UA/units/un/cefact;4731184;1/h;reciprocal hour
1305;http://www.opcfoundation.org/UA/units/un/cefact;4469303;sr;steradian
1306;http://www.opcfoundation.org/UA/units/un/cefact;4470071;W/sr;watt per steradian
1307;http://www.opcfoundation.org/UA/units/un/cefact;4470072;W/(sr·m²);watt per steradian square metre
1309;http://www.opcfoundation.org/UA/units/un/cefact;5002573;lm;lumen
1310;http://www.opcfoundation.org/UA/units/un/cefact;4339250;lm·s;lumen second
1311;http://www.opcfoundation.org/UA/units/un/cefact;4339001;lm·h;lumen hour
1312;http://www.opcfoundation.org/UA/units/un/cefact;4339248;lm/m²;lumen per square metre
1313;http://www.opcfoundation.org/UA/units/un/cefact;4339249;lm/W;lumen per watt
1314;http://www.opcfoundation.org/UA/units/un/cefact;5002584;lx;lux
1315;http://www.opcfoundation.org/UA/units/un/cefact;4339252;lx·s;lux second
1316;http://www.opcfoundation.org/UA/units/un/cefact;4408396;cd;candela
1317;http://www.opcfoundation.org/UA/units/un/cefact;4272692;cd/m²;candela per square metre
1318;http://www.opcfoundation.org/UA/units/un/cefact;4600377;g/s;gram per second
1319;http://www.opcfoundation.org/UA/units/un/cefact;4600376;g/min;gram per minute
1320;http://www.opcfoundation.org/UA/units/un/cefact;4600375;g/h;gram per hour
1321;http://www.opcfoundation.org/UA/units/un/cefact;4600374;g/d;gram per day
1322;http://www.opcfoundation.org/UA/units/un/cefact;4933459;kg/s;kilogram per second
1323;http://www.opcfoundation.org/UA/units/un/cefact;4600625;kg/min;kilogram per minute
1324;http://www.opcfoundation.org/UA/units/un/cefact;4536627;kg/h;kilogram per hour
1325;http://www.opcfoundation.org/UA/units/un/cefact;4600624;kg/d;kilogram per day
1326;http://www.opcfoundation.org/UA/units/un/cefact;4995121;t/s;tonne per second
1327;http://www.opcfoundation.org/UA/units/un/cefact;4994873;(t/min)/K;tonne per minute kelvin
1328;http://opcfoundation.org/UA/IOLink;1328;t/h;metric ton per hour
1329;http://opcfoundation.org/UA/IOLink;1329;t/d;metric ton per day
1330;http://opcfoundation.org/UA/IOLink;1330;lb/s;pound per second
1331;http://opcfoundation.org/UA/IOLink;1331;lb/min;pound per minute
1332;http://www.opcfoundation.org/UA/units/un/cefact;13397;lb/h;pound per hour
1333;http://opcfoundation.org/UA/IOLink;1333;lb/d;pound per day
1334;http://opcfoundation.org/UA/IOLink;1334;STon/s;short ton per second
