Id,Name,Link,ConformanceUnits
19,InterruptionConditionType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/9.2","MachineTool Production InterruptionConditionType;"
20,ProductionStatisticsType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.12","MachineTool Production Job;MachineTool Production PartsProducedInLifetime;"
21,ProductionType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.1","MachineTool MachineToolType Mandatory Nodes;MachineTool Production Basic;"
22,SpindleMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.6","MachineTool Monitoring WorkingUnit;"
23,ElementMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.2",""
24,ProductionStateMachineType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.8","MachineTool Production LastTransition;"
26,MachineOperationMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.9","MachineTool MachineToolType Mandatory Nodes;MachineTool Monitoring Obligation;"
27,ProductionPartTransitionEventType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/9.5","MachineTool Production ProductionPartStateMachineType;"
28,ProductionJobStateMachineType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.9","MachineTool Production ProductionJobStateMachineType;MachineTool Production InterruptionConditionType;"
29,ProductionJobType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.3","MachineTool Production Job;MachineTool Production Dynamic Job List;MachineTool Production Job Available;MachineTool Production Simple Parts Monitoring;"
30,ProductionJobListType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.2","MachineTool Production Job;MachineTool Production Dynamic Job List;MachineTool Production Job Available;"
31,ProductionJobTransitionEventType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/9.4","MachineTool Production ProductionJobStateMachineType;"
32,ProductionActiveProgramType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.5","MachineTool MachineToolType Mandatory Nodes;MachineTool Production Basic;"
33,ChannelModifierType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.12","MachineTool Monitoring Basic - Channels;"
34,ProductionPartSetType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.6","MachineTool Production Job;MachineTool Production Dynamic Job List;MachineTool Production Job Available;"
35,NotificationEventType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/9.3","MachineTool Notification – Errors and Alerts;"
36,LaserMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.4","MachineTool Monitoring WorkingUnit;"
37,ProductionJobEndPrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.10","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
38,MessagesType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.2","MachineTool Notification – Errors and Alerts;"
39,AlertType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/9.1","MachineTool Notification – Errors and Alerts;"
40,ProductionPartStateMachineType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.11","MachineTool Production ProductionPartStateMachineType;"
41,WorkingUnitMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.3","MachineTool Monitoring WorkingUnit;"
42,EDMGeneratorMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.5","MachineTool Monitoring WorkingUnit;"
43,SoftwareIdentificationType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.2.2","MachineTool Identification SoftwareInformation;"
44,ToolListType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.5.2","MachineTool Equipment ToolIdentification;MachineTool Equipment Dynamic Tool List;"
45,ToolChangePrognosisType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.6.11","MachineTool PrognosisType;MachineTool Prognoses Dynamic List;"
46,CombinedChannelMonitoringType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.8","MachineTool Monitoring Basic - Channels;"
47,OperatorConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.1","MachineTool Production InterruptionConditionType;"
48,ClampingConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.3","MachineTool Production InterruptionConditionType;"
49,BaseToolType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.5.3","MachineTool Equipment ToolIdentification;MachineTool Equipment Dynamic Tool List;"
50,ToolType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.5.4","MachineTool Equipment ToolIdentification;MachineTool Equipment Dynamic Tool List;MachineTool Equipment ToolLife;"
51,MultiToolType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.5.5","MachineTool Equipment ToolIdentification;MachineTool Equipment Dynamic Tool List;"
52,ManualProcessStepConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.4","MachineTool Production InterruptionConditionType;"
53,MeasurementConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.5","MachineTool Production InterruptionConditionType;"
54,PartMissingConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.6","MachineTool Production InterruptionConditionType;"
55,ProcessIrregularityConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.7","MachineTool Production InterruptionConditionType;"
56,ProductionPartType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.7","MachineTool Production Job;MachineTool Production Dynamic Job List;MachineTool Production Job Available;"
57,ToolBreakageConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.8","MachineTool Production InterruptionConditionType;"
58,ToolChangeConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.9","MachineTool Production InterruptionConditionType;"
59,ProductionProgramType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.4.4","MachineTool MachineToolType Mandatory Nodes;MachineTool Production Basic;"
60,UtilityConditionClassType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/10.2","MachineTool Production InterruptionConditionType;"
61,ToolLifeType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/11.1","MachineTool Equipment ToolLife;"
62,ProcessIrregularity,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.7","MachineTool Production Job;"
63,PartQuality,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.6","MachineTool Production Job;"
64,ChannelState,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.1","MachineTool Monitoring Basic - Channels;"
65,MachineOperationMode,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.5","MachineTool MachineToolType Mandatory Nodes;"
66,ToolLocked,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.9","MachineTool Equipment ToolIdentification;MachineTool Equipment Dynamic Tool List;"
67,ChannelMode,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.2","MachineTool Monitoring Basic - Channels;"
68,ToolLifeIndication,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.8","MachineTool Equipment ToolLife;"
69,ToolManagement,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.10","MachineTool Equipment ToolIdentification;MachineTool Equipment Dynamic Tool List;"
70,LaserState,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.4","MachineTool Monitoring WorkingUnit;"
71,EDMGeneratorState,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/12.3","MachineTool Monitoring WorkingUnit;"
120,http://opcfoundation.org/UA/MachineTool/,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/15.1",""
1002,ObligationType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.13","MachineTool Monitoring Obligation;"
1003,MachineOperationModeStateMachineType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.10","MachineTool Monitoring MaintenanceMode;3:Machinery Operation Mode;"
1004,MaintenanceModeStateMachineType,"https://reference.opcfoundation.org/v105/MachineTool/v101/docs/8.3.11","MachineTool Monitoring MaintenanceMode;"
